definition,Motivational persuasion,,,,
theories,Attachment theory,Extended Parallel Processing Model (EPPM),,,
negative emotional motivation,Fear appeals,Guilt appeals,Pity appeals,,
positive emotional motivation,Humor appeals,Ingratiation appeals,Patriotism appeals,Sex appeals,Warmth appeals
combining motivational appeals,Combining motivational appeals,,,,
