component,Affective component of an attitude,Behavioral component of an attitude,Cognitive component of an attitude,,
function,Utilitarian function of an attitude,Knowledge function of an attitude,Social identity or value function of an attitude,Self-esteem function of an attitude,
measure,Likert-type scale,Semantic differential scale,,,
bias,Social desirability bias,Non-attitudes,Acquiescence bias,Mindfulness,
other_terms,Value system,Attitude accessibility,Self-monitor,Cognitive elaboration,Activation
