attitude object relationships,Consonant attitude objects,Dissonant attitude objects,Attitude objects with no relationship,
strength of dissonance,Free will,Relative proportion of consonant and dissonant elements,Negative consequences,
controlling dissonance,Initiation stage of cognitive dissonance,Intensification stage of cognitive dissonance,Motivation stage of cognitive dissonance,Reduction stage of cognitive dissonance
Post-decision regret,Options with similar attractiveness,Importance of a decision,Decisions that are difficult to reverse,
Post-decision regret,Post-decision regret,,,
