definition,Nonverbal communication,,,,,
functions,"Repeat, substitute, and complement verbal messages",Contradict verbal cues,Express attitudes and emotions, Regulate the flow of conversation,,
dimensions,Kinesics,Vocalics/paralanguage,Physical appearance,Haptics,Proxemics,Chronemics
cultural differencs,High sensory involvement cultures,Low sensory involvement cultures,Monochronic cultures,Polychronic cultures,Cultural norms and the use of gestures,
theories,Communication Accommodation Theory,Nonverbal Expectancy Violation Theory,,,,
